Reservoir,Fish,Mercury,Elevation,Drainage Area,Surface Area,Max Depth,RF,FR,Dam,RT,RS,C1,C2,C3,C4,C5,C6
64,5,1.12,311,66,1539,26,0.56,4.7,1,3,0,0,1,0,0,0,0
91,5,1.12,354,35,1050,38,0.52,2.5,0,2,0,0,0,1,0,0,0
65,3,1.08,425,2,83,27,0.6,2.8,1,3,1,0,1,0,0,0,0
98,5,1.05,298,8,281,42,0.48,2.1,1,2,1,0,0,1,0,0,0
77,5,0.96,109,3,182,31,0.51,8.2,0,2,0,0,1,0,0,0,0
67,4,0.94,263,,1823,27,0.47,0.2,0,2,,0,0,0,0,1,0
5,5,0.91,1273,65,700,106,0.62,4.3,0,1,1,0,1,0,0,0,0
61,4,0.91,500,5,685,25,0.51,0.6,1,2,0,0,0,0,0,1,0
33,5,0.9,683,10,93,18,0.59,18.9,0,3,0,0,0,0,1,0,0
115,2,0.89,676,9,307,52,0.06,0.3,0,2,1,0,0,1,0,0,0
59,5,0.86,76,19,234,24,0.66,12.6,0,3,0,0,1,0,0,0,0
39,4,0.82,204,14,102,6,0.57,50.9,1,2,0,0,1,0,0,0,0
103,2,0.81,449,17,38,45,0.51,24.5,1,1,1,0,0,0,0,1,0
50,3,0.8,454,2,202,20,0.58,1.1,1,2,0,0,1,0,0,0,0
55,5,0.79,417,123,6944,22,0.57,2,1,2,0,1,0,0,0,0,0
58,4,0.79,1235,182,2627,24,0.61,13.1,0,2,0,0,1,0,0,0,0
45,3,0.77,311,6,564,74,0.61,0.8,0,2,1,0,0,1,0,0,0
101,5,0.77,557,14,704,44,0.58,2.7,0,2,1,0,0,0,1,0,0
104,5,0.77,374,4,63,45,0.62,4.5,1,2,1,0,0,0,1,0,0
114,4,0.77,205,3,190,52,0.53,0.8,1,1,1,0,0,0,1,0,0
71,4,0.75,205,18,200,29,0.51,9.6,0,2,1,1,0,0,0,0,0
70,5,0.73,524,1,126,28,0.61,1,0,3,0,0,0,1,0,0,0
48,5,0.71,221,14,282,19,0.49,6.2,0,2,0,0,1,0,0,0,0
108,3,0.71,102,499,7865,47,0.58,5.8,0,2,0,0,1,0,0,0,0
14,5,0.68,312,2,153,14,0.57,1.8,1,2,0,0,1,0,0,0,0
80,1,0.67,1097,5,164,33,0.51,3.3,1,3,1,1,0,0,0,0,0
92,5,0.67,204,9,367,38,0.58,2.3,0,3,0,0,0,0,0,1,0
72,3,0.66,350,1,24,30,,,1,3,1,0,1,0,0,0,0
11,5,0.62,717,4,272,13,0.56,2.7,1,3,0,0,1,0,0,0,0
112,4,0.62,510,2,164,50,0.56,0.7,0,2,1,0,0,0,1,0,0
15,5,0.6,362,14,239,15,0.06,1.2,1,3,0,0,0,0,1,0,0
38,5,0.58,247,5,102,,,,,,,0,0,0,0,0,1
69,5,0.58,227,12,2035,28,0.51,0.6,0,2,0,0,0,0,1,0,0
18,3,0.57,416,22,1568,158,0.53,0.3,0,1,1,0,0,0,1,0,0
28,5,0.57,910,2,45,9,,,1,2,0,0,1,0,0,0,0
82,1,0.57,34,116,250,34,0.61,43.7,1,2,1,0,0,1,0,0,0
117,5,0.57,402,15,568,54,0.56,1.1,0,2,1,1,0,0,0,0,0
116,5,0.56,446,1,41,53,,,1,3,1,0,0,1,0,0,0
95,5,0.55,304,3,118,40,0.55,1.9,1,3,1,0,1,0,0,0,0
3,5,0.54,487,1,175,10,0.57,1.5,0,3,0,0,1,0,0,0,0
57,5,0.52,271,9,203,22,0.58,10.1,0,3,0,0,1,0,0,0,0
74,4,0.51,269,3,134,30,0.47,2.1,1,2,1,0,1,0,0,0,0
54,5,0.49,67,11,135,21,0.58,5.9,0,3,1,0,0,0,1,0,0
78,5,0.49,639,17,197,32,0.58,10.5,1,3,1,0,1,0,0,0,0
84,5,0.48,232,3,339,36,0.62,0.7,0,3,1,0,0,0,1,0,0
122,5,0.48,846,92,422,6,0.58,45.2,1,2,0,0,1,0,0,0,0
62,5,0.47,778,23,638,25,0.56,4.2,1,3,0,0,0,0,0,1,0
40,5,0.45,419,6,605,60,0.58,0.7,1,3,1,0,1,0,0,0,0
105,5,0.45,357,9,1120,45,0.06,0.1,1,2,1,0,0,1,0,0,0
12,5,0.44,574,762,5581,136,0.5,3.2,1,1,1,0,1,0,0,0,0
79,5,0.44,474,2,161,32,0.55,0.7,1,3,1,0,1,0,0,0,0
17,2,0.43,634,6,227,150,0.53,0.5,1,1,1,0,0,0,1,0,0
32,4,0.43,882,15,630,17,0.61,2.9,1,2,0,0,0,1,0,0,0
76,5,0.43,819,47,403,31,0.58,9.5,1,3,1,0,0,1,0,0,0
99,5,0.43,312,1,29,42,0.56,3.3,1,3,1,0,0,1,0,0,0
118,3,0.43,341,4,467,55,0.58,0.5,1,1,1,0,0,1,0,0,0
29,5,0.41,913,41,225,90,0.61,7.3,1,1,1,0,0,0,1,0,0
30,5,0.41,319,21,1574,92,0.5,0.5,,1,1,0,0,0,1,0,0
66,5,0.41,328,,315,27,0.58,0.7,1,3,0,0,1,0,0,0,0
94,5,0.41,328,1,47,39,0.54,1.1,1,3,1,0,0,1,0,0,0
113,5,0.41,1409,1,30,50,0.61,1.9,1,3,1,0,0,1,0,0,0
119,3,0.41,87,106,532,57,0.6,14.2,0,3,1,0,1,0,0,0,0
83,5,0.4,390,3,271,36,0.58,0.9,1,3,1,0,0,1,0,0,0
106,5,0.39,578,164,2515,46,0.5,3.3,1,3,0,1,0,0,0,0,0
68,5,0.38,141,17,712,27,0.46,2.3,1,2,0,0,0,1,0,0,0
43,3,0.37,17,21,392,63,0.58,2.3,0,3,1,1,0,0,0,0,0
53,5,0.37,637,3,13,21,0.5,25.2,1,3,1,0,0,0,1,0,0
73,5,0.37,146,0,44,30,0.46,1,1,3,1,0,1,0,0,0,0
121,5,0.37,1700,4,70,58,0.56,3.8,1,3,1,0,0,0,0,0,1
6,5,0.36,1150,1,60,11,0.56,2.9,1,2,0,0,1,0,0,0,0
49,5,0.36,377,2,109,19,0.58,2.2,1,2,0,0,0,0,1,0,0
87,2,0.36,751,32,474,37,0.56,7.4,0,1,1,0,0,0,0,1,0
120,3,0.36,1503,6,211,58,0.56,1.8,1,1,1,0,1,0,0,0,0
2,4,0.35,345,15,360,80,0.51,1.7,0,3,1,0,1,0,0,0,0
86,3,0.35,195,1,115,37,0.61,1.3,1,3,1,1,0,0,0,0,0
42,5,0.34,929,13,390,62,0.61,2.2,0,3,1,0,0,1,0,0,0
90,5,0.32,170,45,6765,38,0.62,0.6,0,2,0,0,0,0,1,0,0
60,5,0.31,446,7,576,25,0.56,1.1,1,2,0,0,0,0,0,1,0
4,5,0.29,165,131,5543,100,0.51,1.1,0,2,1,0,1,0,0,0,0
21,5,0.29,203,23,430,8,0.51,20.1,0,2,0,0,0,1,0,0,0
109,5,0.29,1245,600,7850,48,0.56,9.2,0,2,0,0,1,0,0,0,0
9,2,0.28,298,226,14340,128,0.56,0.5,0,1,1,0,1,0,0,0,0
34,5,0.28,101,0,49,18,0.51,0.9,1,3,0,0,0,0,0,1,0
47,5,0.27,397,2,128,8,0.61,7.9,1,3,0,0,0,0,0,1,0
31,5,0.26,1486,1,91,96,0.76,0.8,0,1,1,0,1,0,0,0,0
41,5,0.26,922,298,2923,62,0.51,5.8,0,1,1,0,1,0,0,0,0
24,5,0.25,1244,39,713,80,0.46,2,1,1,1,1,0,0,0,0,0
36,5,0.25,824,5,401,19,0.52,1.1,1,2,0,0,1,0,0,0,0
81,2,0.24,653,6,588,34,0.53,0.8,1,3,0,0,1,0,0,0,0
89,3,0.24,683,1,61,38,0.61,1.1,1,1,1,0,1,0,0,0,0
10,5,0.23,270,2,20,13,,,1,2,0,0,1,0,0,0,0
51,5,0.23,177,,44,20,,,0,2,0,0,1,0,0,0,0
26,5,0.22,519,6,1222,88,,,1,1,1,0,1,0,0,0,0
100,5,0.22,1203,2,205,43,0.56,0.8,1,3,1,0,0,0,0,1,0
107,5,0.22,1271,25,970,46,0.66,2.1,0,3,0,0,1,0,0,0,0
8,4,0.21,54,57,4381,114,0.59,0.5,0,3,1,0,1,0,0,0,0
102,4,0.21,1157,558,3053,44,0.46,20.3,1,3,0,0,1,0,0,0,0
7,5,0.19,15,0,46,11,0.6,1.7,0,2,0,0,1,0,0,0,0
16,5,0.19,296,1,87,15,0.47,2,1,2,0,0,0,0,0,1,0
27,5,0.18,122,10,25,9,0.51,58.8,1,2,0,0,1,0,0,0,0
37,5,0.18,1095,0,24,19,0.46,0.8,1,2,1,0,1,0,0,0,0
75,5,0.18,499,1,36,30,0.61,3.3,0,2,1,0,0,1,0,0,0
97,4,0.18,118,28,1201,41,0.51,1.6,0,2,1,0,1,0,0,0,0
22,4,0.16,1373,0,30,8,0.61,2.3,1,2,0,0,0,0,1,0,0
46,5,0.16,756,4,331,75,0.61,0.5,0,1,1,1,0,0,0,0,0
20,3,0.14,1045,21,980,16,0.61,5.4,0,3,0,0,1,0,0,0,0
35,3,0.13,1633,0,14,18,0.71,1.8,1,2,0,0,0,1,0,0,0
85,2,0.13,995,4,12,37,0.54,28.6,1,1,1,0,0,0,0,1,0
110,5,0.12,180,5,660,49,0.51,0.5,1,2,1,0,1,0,0,0,0
25,5,0.11,1189,4,388,85,0.56,0.3,1,1,1,1,0,0,0,0,0
52,3,0.1,1690,4,17,21,0.56,64.1,1,2,1,0,0,0,1,0,0
93,2,0.1,331,1,32,39,0.64,1.9,0,3,0,0,1,0,0,0,0
44,4,0.09,1209,5,280,68,0.76,0.9,1,1,1,0,0,0,1,0,0
111,2,0.08,904,1,45,5,0.51,17.5,1,2,0,0,1,0,0,0,0
19,3,0.07,212,2,53,16,0.62,6.8,0,3,0,0,1,0,0,0,0
1,3,0.05,196,6,74,36,0.44,1.1,1,2,0,0,1,0,0,0,0
13,4,0.05,1390,4,41,14,0.66,19.4,1,2,0,0,1,0,0,0,0
63,2,0.03,1494,1,47,26,0.69,0.8,1,2,0,1,0,0,0,0,0
,,,,,,,,,,,, ,,,,,
